Username,Repo_name,Stars,Url,Issues,Pull_Requests,Forks,Topics
nRF24,RF24,1800,https://github.com/nRF24/RF24,10,5,900,Arduino
stm32duino,Arduino_Core_STM32,1800,https://github.com/stm32duino/Arduino_Core_STM32,19,10,694,Arduino
Bodmer,TFT_eSPI,1700,https://github.com/Bodmer/TFT_eSPI,12,2,574,Arduino
blinker-iot,blinker-library,1700,https://github.com/blinker-iot/blinker-library,0,1,177,Arduino
ThingPulse,esp8266-oled-ssd1306,1600,https://github.com/ThingPulse/esp8266-oled-ssd1306,14,3,558,Arduino
aspnetboilerplate,aspnetboilerplate,10200,https://github.com/aspnetboilerplate/aspnetboilerplate,185,4,3600,ASP.NET
dotnet,AspNetCore.Docs,10100,https://github.com/dotnet/AspNetCore.Docs,561,11,23700,ASP.NET
bitwarden,server,9200,https://github.com/bitwarden/server,102,13,781,ASP.NET
nopSolutions,nopCommerce,700,https://github.com/nopSolutions/nopCommerce,200,56,400,ASP.NET
ElectronNET,Electron.NET,6200,https://github.com/ElectronNET/Electron.NET,123,17,608,ASP.NET
RicoSuter,NSwag,4900,https://github.com/RicoSuter/NSwag,1300,51,938,ASP.NET
thangchung,clean-code-dotnet,4600,https://github.com/thangchung/clean-code-dotnet,13,24,745,ASP.NET
JimBobSquarePants,ImageProcessor,2500,https://github.com/JimBobSquarePants/ImageProcessor,NA,1,502,ASP.NET
smartstore,SmartStoreNET,2400,https://github.com/smartstore/SmartStoreNET,20,20,1400,ASP.NET
dotnet,aspnet-api-versioning,2200,https://github.com/dotnet/aspnet-api-versioning,60,8,628,ASP.NET
loic-sharma,BaGet,1900,https://github.com/loic-sharma/BaGet,181,42,400,ASP.NET
mjebrahimi,Awesome-Microservices-DotNet,1600,https://github.com/mjebrahimi/Awesome-Microservices-DotNet,0,0,236,ASP.NET
TrilonIO,aspnetcore-angular-universal,1500,https://github.com/TrilonIO/aspnetcore-angular-universal,109,2,471,ASP.NET
TrilonIO,aspnetcore-Vue-starter,1200,https://github.com/TrilonIO/aspnetcore-Vue-starter,38,2,278,ASP.NET
lampo1024,DncZeus,1200,https://github.com/lampo1024/DncZeus,5,0,377,ASP.NET
MarimerLLC,csla,983,https://github.com/MarimerLLC/csla,66,2,355,ASP.NET
riganti,dotvvm,599,https://github.com/riganti/dotvvm,98,15,89,ASP.NET
cornflourblue,aspnet-core-3-jwt-authentication-api,589,https://github.com/cornflourblue/aspnet-core-3-jwt-authentication-api,4,3,283,ASP.NET
json-api-dotnet,JsonApiDotNetCore,539,https://github.com/json-api-dotnet/JsonApiDotNetCore,34,4,147,ASP.NET
antonioCoco,SharPyShell,517,https://github.com/antonioCoco/SharPyShell,3,0,99,ASP.NET
chsakell,mvcarchitecture,451,https://github.com/chsakell/mvcarchitecture,4,0,206,ASP.NET
brthor,Gofer.NET,433,https://github.com/brthor/Gofer.NET,11,5,43,ASP.NET
YAFNET,YAFNET,423,https://github.com/YAFNET/YAFNET,1,1,184,ASP.NET
Maarten88,rrod,379,https://github.com/Maarten88/rrod,0,0,95,ASP.NET
IvanJosipovic,BlazorTable,373,https://github.com/IvanJosipovic/BlazorTable,68,10,85,ASP.NET
SapphireDb,SapphireDb,368,https://github.com/SapphireDb/SapphireDb,9,1,27,ASP.NET
